,City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
272,Ilulissat,69.22,-51.1,41.0,65,100,14.99,GL,1586705994
273,Iqaluit,63.75,-68.51,26.6,73,90,8.05,CA,1586705884
274,Marawi,8.0,124.29,67.87,67,0,3.2,PH,1586705994
275,White Rock,49.02,-122.8,48.2,31,1,5.82,CA,1586705994
276,Mizdah,31.45,12.98,75.52,19,12,9.57,LY,1586705994
277,Sawākin,19.11,37.33,77.97,56,55,14.03,SD,1586705995
278,Gōtsuchō,35.0,132.22,47.16,88,100,24.76,JP,1586705995
279,Grants,35.15,-107.85,46.4,52,75,19.46,US,1586705995
280,Lucapa,-8.42,20.74,80.51,57,86,3.11,AO,1586705995
281,Sol'-Iletsk,51.16,54.99,44.35,56,8,8.34,RU,1586705995
282,Doka,13.52,35.77,99.37,10,75,14.54,SD,1586705995
283,Normandin,48.83,-72.53,37.0,74,90,18.34,CA,1586705995
284,Panabá,21.28,-88.27,88.83,50,25,15.41,MX,1586705995
285,Coahuayana Viejo,18.73,-103.68,83.64,42,83,1.41,MX,1586705996
286,Porto União,-26.24,-51.08,73.06,37,38,3.36,BR,1586705996
287,Kavaratti,10.57,72.64,85.33,68,6,4.85,IN,1586705818
288,Sri Aman,1.24,111.46,80.6,94,100,2.64,MY,1586705996
289,Ancud,-41.87,-73.82,53.6,66,75,3.36,CL,1586705996
290,Nantucket,41.28,-70.1,53.6,61,1,12.75,US,1586705996
291,Faya,18.39,42.45,69.8,72,40,6.93,SA,1586705997
292,Mineiros,-17.57,-52.55,80.2,56,35,1.92,BR,1586705997
293,Xining,36.62,101.77,45.72,19,100,3.51,CN,1586705751
294,Barrow,71.29,-156.79,23.0,85,90,5.82,US,1586705987
295,Būndu,23.18,85.58,84.2,42,40,3.2,IN,1586705997
296,Bershet',57.73,56.38,48.2,61,100,6.71,RU,1586705997
297,Wamba,8.93,8.6,96.75,19,61,6.31,NG,1586705998
298,Bhatkal,13.97,74.57,82.26,81,0,7.23,IN,1586705998
299,Kapaa,22.08,-159.32,69.8,82,1,5.82,US,1586705998
300,São Filipe,14.9,-24.5,77.27,67,1,14.09,CV,1586705998
301,Salalah,17.02,54.09,84.2,66,20,10.29,OM,1586705998
302,Muroto-misakicho,33.28,134.15,53.76,90,100,14.72,JP,1586705998
303,Yong’an,39.7,113.69,48.04,26,0,4.74,CN,1586705999
304,Tocopilla,-22.09,-70.2,80.51,33,32,4.76,CL,1586705999
305,Laas,46.62,10.7,77.0,35,40,6.93,IT,1586705999
306,Praia,14.92,-23.51,86.0,42,27,23.04,CV,1586705999
307,Nabire,-3.37,135.48,77.36,86,85,2.13,ID,1586705999
308,Mayo,38.89,-76.51,66.0,62,90,8.05,US,1586706000
309,Vardø,70.37,31.11,33.8,55,75,16.11,NO,1586705763
310,The Pas,53.83,-101.25,8.6,78,20,5.82,CA,1586706000
311,Riyadh,24.69,46.72,80.6,30,57,8.05,SA,1586706000
312,Kasane,-17.82,25.15,84.2,45,40,6.93,BW,1586706000
313,Saint-Pierre,-21.34,55.48,77.0,83,100,5.82,RE,1586706000
314,Mackenzie,55.3,-123.17,17.6,72,1,1.95,CA,1586706001
315,Port-Cartier,50.03,-66.87,37.0,64,75,9.17,CA,1586705760
316,Kribi,2.95,9.92,82.54,66,43,9.98,CM,1586706001
317,Rāwatsār,29.28,74.38,93.16,18,7,7.23,IN,1586706001
318,Polokwane,-23.9,29.47,84.2,25,20,8.05,ZA,1586706001
319,Teguise,29.06,-13.56,73.4,53,20,16.11,ES,1586706001
320,Taltal,-25.4,-70.48,69.51,58,55,5.79,CL,1586706001
321,Rehoboth,-23.32,17.08,79.23,23,86,7.65,NA,1586706002
322,Bandarbeyla,9.49,50.81,82.38,76,76,13.6,SO,1586706002
323,Schisma Eloundas,35.27,25.72,66.2,77,6,5.82,GR,1586706002
324,Vao,-22.67,167.48,77.22,78,34,10.76,NC,1586705817
325,Algiers,36.75,3.04,71.6,68,75,3.36,DZ,1586705875
326,Abu Dhabi,24.47,54.37,96.8,16,100,11.41,AE,1586705852
327,Maraã,-1.83,-65.37,84.07,71,100,1.43,BR,1586706003
328,Maguling,6.09,124.4,80.51,74,33,1.36,PH,1586706003
329,Portel,-1.94,-50.82,84.83,73,75,1.99,BR,1586706003
330,Guiglo,6.55,-7.5,96.37,35,15,3.29,CI,1586706003
331,La Macarena,2.18,-73.78,86.52,59,94,2.48,CO,1586706003
332,San Andrés,12.58,-81.7,84.2,79,40,6.93,CO,1586705943
333,Emerald,-23.53,148.17,68.0,42,0,9.17,AU,1586706003
334,Kūstī,13.16,32.66,98.2,8,99,16.84,SD,1586706004
335,Viedma,-40.81,-63.0,65.35,28,71,6.35,AR,1586706004
336,Dzaoudzi,-12.79,45.27,86.0,74,20,10.29,YT,1586706004
337,Bowen,-20.02,148.23,73.99,94,75,4.7,AU,1586706004
338,Ferrol,43.48,-8.24,57.99,93,75,9.17,ES,1586705794
339,Hamilton,39.18,-84.53,61.0,62,90,8.05,US,1586705760
340,Sinnamary,5.38,-52.95,82.22,71,98,13.71,GF,1586706005
341,Santander,43.46,-3.8,60.01,93,90,3.36,ES,1586706005
342,Leninskoye,47.94,132.62,48.02,48,56,2.91,RU,1586706005
343,Ahipara,-35.17,173.17,65.68,83,75,15.46,NZ,1586706005
344,Natal,-5.79,-35.21,87.8,62,40,12.75,BR,1586706005
345,The Valley,18.22,-63.06,86.0,66,40,6.93,AI,1586705991
346,Caniço,32.63,-16.85,66.2,63,40,12.75,PT,1586706005
347,Monrovia,6.3,-10.8,86.0,74,75,9.17,LR,1586705940
348,‘Ewa Beach,21.32,-158.01,73.4,77,1,6.93,US,1586706006
349,Oranjemund,-28.55,16.43,68.58,75,15,15.55,NA,1586706003
350,Marsh Harbour,26.54,-77.06,75.45,76,26,20.15,BS,1586705715
351,Gobabis,-22.45,18.97,86.0,25,64,32.21,NA,1586706006
352,Los Llanos de Aridane,28.66,-17.92,68.0,68,75,11.41,ES,1586705777
353,Usinsk,65.99,57.53,22.23,93,100,2.19,RU,1586706006
354,Turkmenabat,39.07,63.58,60.8,82,90,2.24,TM,1586706006
355,Kysyl-Syr,63.9,122.76,20.91,94,0,4.81,RU,1586705806
356,Labuhan,-6.88,112.21,78.49,82,98,1.43,ID,1586705775
357,Kyra,49.58,111.98,48.34,30,100,2.08,RU,1586706007
358,San Quintín,30.48,-115.95,59.29,73,99,11.43,MX,1586706007
359,Nanortalik,60.14,-45.24,36.48,82,93,14.36,GL,1586706007
360,Wilmington,34.23,-77.94,75.0,49,1,17.22,US,1586705409
361,Gambēla,8.25,34.58,90.3,42,65,1.79,ET,1586706007
362,Altus,34.64,-99.33,70.0,52,1,10.29,US,1586706008
363,Tautira,-17.73,-149.15,77.0,83,20,2.24,PF,1586706008
364,Nemuro,43.32,145.57,33.57,88,0,9.19,JP,1586705966
365,Hobyo,5.35,48.53,84.83,72,45,11.9,SO,1586706008
366,Afuá,-0.16,-50.39,82.62,84,65,4.79,BR,1586706008
367,Ulaangom,49.98,92.07,29.5,70,97,1.52,MN,1586706008
368,Merauke,-8.47,140.33,78.57,88,76,8.81,ID,1586706009
369,Bermeo,43.42,-2.72,69.01,77,20,11.41,ES,1586706009
370,Shawnee,39.05,-95.77,63.0,77,90,5.82,US,1586705882
371,Malkara,40.89,26.9,52.84,54,0,14.0,TR,1586706009
372,Mount Gambier,-37.83,140.77,51.8,81,90,3.36,AU,1586706009
373,Tomatlán,19.93,-105.25,80.96,39,42,4.36,MX,1586706009
374,Allada,6.67,2.15,89.6,70,20,13.87,BJ,1586706010
375,Northam,51.03,-4.22,62.01,83,100,3.0,GB,1586705765
376,Rundu,-17.93,19.77,82.4,48,97,3.36,NA,1586706010
377,Vila Franca do Campo,37.72,-25.43,62.6,82,75,12.75,PT,1586706010
378,Auki,-8.77,160.7,81.1,78,99,4.63,SB,1586706010
379,Singaparna,-7.35,108.11,73.98,80,100,1.48,ID,1586706010
380,Lamar,33.67,-95.58,64.4,93,90,12.75,US,1586706011
381,San Lucas,16.6,-92.72,84.2,45,20,4.7,MX,1586706011
382,Govindgarh,27.5,76.98,91.06,16,98,8.63,IN,1586706011
383,Majene,-3.54,118.97,79.12,82,29,4.9,ID,1586706011
384,Kloulklubed,7.04,134.26,82.76,78,14,8.7,PW,1586706011
385,Palana,59.12,159.97,10.8,94,100,3.38,RU,1586706011
386,Belmonte,-15.86,-38.88,78.8,88,75,4.7,BR,1586705785
387,Priladozhskiy,59.85,31.48,39.2,93,90,13.42,RU,1586706011
388,Lensk,60.73,114.93,30.18,94,22,4.43,RU,1586706012
389,Zyryanka,65.75,150.85,23.14,95,100,4.0,RU,1586706012
390,Yadrin,55.94,46.21,35.28,79,100,16.49,RU,1586706012
391,Hambantota,6.12,81.12,82.9,79,4,13.85,LK,1586706012
392,Ballina,-28.87,153.57,53.6,100,3,6.98,AU,1586705819
393,Ibrā’,22.69,58.53,89.69,16,14,9.17,OM,1586705877
394,Bereda,43.27,-7.54,64.99,93,75,9.17,ES,1586706013
395,Mitsamiouli,-11.38,43.28,83.8,77,73,20.18,KM,1586706013
396,Kang,-23.68,22.79,82.62,23,68,3.27,BW,1586706013
397,Narva-Jõesuu,59.46,28.04,40.21,88,100,21.88,EE,1586706013
398,Brae,60.4,-1.35,41.0,56,91,27.51,GB,1586705761
399,Shimoda,34.67,138.95,43.0,93,100,5.01,JP,1586706013
400,Inhambane,-23.86,35.38,79.81,68,0,11.79,MZ,1586706014
401,Ginir,7.13,40.7,67.05,49,85,5.61,ET,1586706014
402,Ilhabela,-23.78,-45.36,74.57,60,80,6.38,BR,1586706014
403,Khorramshahr,30.44,48.17,86.0,17,20,9.17,IR,1586706014
404,Chapais,49.78,-74.85,35.6,74,90,9.17,CA,1586706014
405,Progreso,21.28,-89.67,91.99,58,5,19.46,MX,1586706014
406,Jizan,17.33,42.67,86.0,70,98,11.41,SA,1586706014
407,Puerto Ayacucho,5.66,-67.62,91.18,47,100,5.1,VE,1586706015
408,Myingyan,21.47,95.38,88.03,31,2,7.65,MM,1586706015
409,North Bend,43.41,-124.22,44.01,100,40,3.36,US,1586706015
410,Seydi,39.48,62.91,62.67,46,100,6.42,TM,1586706015
411,Tiznit Province,29.58,-9.5,62.46,48,70,11.92,MA,1586706015
412,Sola,-13.88,167.55,81.75,76,96,11.32,VU,1586706016
413,Āsbe Teferī,9.08,40.87,71.15,44,98,3.96,ET,1586706016
414,Sørland,67.67,12.69,35.6,64,75,19.46,NO,1586705781
415,Mehamn,71.04,27.85,30.2,63,100,13.87,NO,1586706016
416,Makakilo City,21.35,-158.09,73.4,93,75,6.93,US,1586706016
417,Leningradskiy,69.38,178.42,11.59,86,97,2.89,RU,1586706017
418,Trairi,-3.28,-39.27,85.28,72,100,11.7,BR,1586706017
419,Niţchidorf,45.58,21.53,71.6,51,52,11.41,RO,1586706017
420,Atambua,-9.11,124.89,74.43,79,99,1.52,ID,1586706017
421,Faanui,-16.48,-151.75,82.36,72,100,11.61,PF,1586706017
422,Mountain Home,43.13,-115.69,39.2,37,1,11.41,US,1586706018
423,Matagami,49.75,-77.63,35.6,74,90,10.29,CA,1586706018
424,Havelock,34.88,-76.9,73.99,53,75,14.99,US,1586706018
425,Puerto Madryn,-42.77,-65.04,65.35,26,0,8.79,AR,1586705909
426,Xingyi,24.19,102.82,51.1,46,94,5.97,CN,1586706018
427,Fernández,-27.92,-63.89,76.89,39,0,12.93,AR,1586706018
428,Jalu,29.03,21.55,78.76,16,0,8.05,LY,1586706019
429,Dhidhdhoo,6.88,73.1,86.11,68,34,8.63,MV,1586706019
430,Arrondissement du Havre,49.58,0.33,75.2,43,0,5.82,FR,1586706019
431,Verkhnyaya Toyma,62.23,45.0,32.58,87,8,1.99,RU,1586706019
432,Nouna,12.73,-3.87,102.69,17,47,7.02,BF,1586706019
433,Puro,12.48,123.38,82.18,73,86,4.09,PH,1586706019
434,Tilichiki,60.47,166.1,2.57,87,1,6.6,RU,1586706019
435,Esperance,-33.87,121.9,64.4,100,90,5.82,AU,1586706020
436,San Juan,-31.54,-68.54,70.47,34,100,13.76,AR,1586705996
437,Mujiayingzi,42.12,118.78,49.78,29,0,3.76,CN,1586706020
438,Kingman,35.19,-114.05,64.0,62,40,7.99,US,1586705780
439,Yantal',56.85,105.25,30.02,88,0,3.58,RU,1586706020
440,Gemeente Zundert,51.47,4.64,75.0,37,75,3.36,NL,1586706020
441,Zhigansk,66.77,123.37,16.03,94,53,10.47,RU,1586705753
442,Mangai,-4.05,19.53,74.73,80,100,3.53,CD,1586706020
443,Finote Selam,10.7,37.27,76.98,28,75,6.6,ET,1586706021
444,Bengkulu,-3.8,102.27,79.9,83,100,3.04,ID,1586706021
445,Vila,42.03,-8.16,60.8,77,20,16.11,PT,1586706021
446,Nioki,-2.72,17.68,77.92,84,94,1.36,CD,1586706021
447,Talakan,50.32,130.37,43.14,59,5,2.13,RU,1586706021
448,Puerto Asís,0.51,-76.5,73.4,100,90,3.36,CO,1586706021
449,Biak,-0.91,122.88,80.33,63,6,3.47,ID,1586706022
450,Xalpatlahuac,17.47,-98.62,80.19,13,5,2.3,MX,1586706022
451,Tacuatí,-23.45,-56.58,89.83,22,0,2.77,PY,1586706022
452,Senador Pompeu,-5.59,-39.37,83.07,77,78,4.88,BR,1586706022
453,Sturgeon Bay,44.83,-87.38,39.2,69,90,12.75,US,1586706022
454,Alvarado,18.77,-95.77,87.01,70,75,10.29,MX,1586706022
455,Lumphat,13.49,106.98,76.91,80,100,4.76,KH,1586706022
456,Yulara,-25.24,130.99,73.4,31,40,5.82,AU,1586706023
457,Great Falls,47.5,-111.3,15.01,78,1,10.29,US,1586706023
458,Anadyr,64.75,177.48,6.8,84,90,15.66,RU,1586706023
459,Bonavista,48.65,-53.11,34.86,87,0,16.42,CA,1586705923
460,Saint-Paul,-21.01,55.27,77.0,83,100,14.99,RE,1586706023
461,Arlit,18.74,7.39,103.69,7,0,3.94,NE,1586706023
462,Daru,-9.08,143.21,79.65,84,95,9.01,PG,1586705822
463,Nome,64.5,-165.41,30.2,92,90,12.75,US,1586706024
464,Sitka,57.05,-135.33,37.4,74,75,4.7,US,1586705807
465,Esim,4.87,-2.24,85.66,71,32,7.74,GH,1586706024
466,Saucillo,28.02,-105.28,58.44,21,0,25.86,MX,1586706024
467,Yenagoa,4.92,6.26,90.61,55,93,4.07,NG,1586706024
468,Bam,29.11,58.36,79.34,18,94,9.98,IR,1586706024
469,Oddur,4.12,43.89,86.49,42,92,6.35,SO,1586706024
470,Mae Hong Son,19.3,97.97,80.33,24,49,0.54,TH,1586706025
471,Kaeo,-35.1,173.78,63.0,94,89,4.0,NZ,1586706025
472,Padang,-0.95,100.35,78.17,77,100,5.17,ID,1586706017
473,Te Anau,-45.42,167.72,44.55,77,100,7.0,NZ,1586706025
474,Ambon City,-3.7,128.18,83.3,72,98,5.86,ID,1586706025
475,Tecate,32.57,-116.63,62.01,87,91,9.17,MX,1586705731
476,Abū Zabad,12.35,29.25,94.84,8,93,15.43,SD,1586706025
477,Pericei,47.23,22.88,69.8,18,41,8.05,RO,1586706026
478,Nouakchott,18.09,-15.98,87.13,25,12,16.67,MR,1586706026
479,Lanzhou,36.06,103.79,55.99,20,89,4.47,CN,1586706026
480,Alice Springs,-23.7,133.88,66.2,37,41,8.32,AU,1586706026
481,Cabedelo,-6.98,-34.83,89.6,55,20,13.87,BR,1586705829
482,Varberg,57.11,12.25,51.8,81,99,14.99,SE,1586705883
483,Nishihara,26.18,127.76,62.6,48,40,17.22,JP,1586706026
484,Peniche,39.36,-9.38,69.8,68,40,13.87,PT,1586706027
485,Morant Bay,17.88,-76.41,87.8,58,20,8.05,JM,1586706027
486,Severnyy,50.68,36.55,48.2,24,19,15.66,RU,1586706027
487,Sur,22.57,59.53,83.23,56,1,1.97,OM,1586706027
488,Torbay,47.67,-52.73,45.0,52,20,18.34,CA,1586706027
489,Taoudenni,22.68,-3.98,107.53,6,0,14.2,ML,1586706027
490,Vidim,56.41,103.11,30.56,84,0,4.25,RU,1586706027
491,Grödig,47.73,13.03,73.0,35,40,5.82,AT,1586706027
492,Paamiut,61.99,-49.67,35.87,85,80,35.05,GL,1586706028
493,Benghazi,32.12,20.07,65.53,53,0,13.38,LY,1586706028
494,Petropavlovsk-Kamchatskiy,53.05,158.65,28.4,79,75,2.24,RU,1586706028
495,Kieta,-6.22,155.63,80.04,80,92,4.18,PG,1586706028
496,Esso,55.93,158.7,10.98,86,57,2.39,RU,1586706028
497,Hopkinsville,36.87,-87.49,57.99,100,40,11.41,US,1586705801
498,Clarence Town,-32.58,151.78,57.0,93,0,2.75,AU,1586706028
499,Chitral,35.85,71.79,57.09,26,92,0.65,PK,1586706029
500,Morondava,-20.28,44.28,80.91,75,48,7.54,MG,1586706029
501,Kutum,14.2,24.67,87.62,8,92,16.4,SD,1586706029
502,Bayir,37.27,28.22,71.6,37,3,6.93,TR,1586706029
503,Mercedes,-34.65,-59.43,78.01,60,68,1.01,AR,1586706029
504,Le Port,-20.94,55.29,77.0,83,100,14.99,RE,1586706029
505,Fayaoué,-20.65,166.53,78.71,68,44,5.21,NC,1586705865
506,Borogontsy,62.67,131.17,24.28,95,70,8.46,RU,1586706030
507,Farafangana,-22.82,47.83,76.64,84,100,10.31,MG,1586706030
508,La Ciotat,43.17,5.6,69.01,30,59,11.41,FR,1586706030
509,San Matías,-16.37,-58.4,90.32,47,0,0.87,BO,1586706030
510,Zaigrayevo,51.83,108.27,37.4,69,75,2.24,RU,1586706030
511,Yeppoon,-23.13,150.73,69.8,68,0,6.93,AU,1586706030
512,Kalmunai,7.42,81.82,82.47,81,3,9.6,LK,1586706031
513,Innisfail,-17.53,146.03,71.55,75,0,3.38,AU,1586706031
514,Invermere,50.52,-116.04,21.38,79,55,2.15,CA,1586706031
515,Changji,44.02,87.32,62.6,29,15,2.24,CN,1586706031
516,São Gabriel da Cachoeira,-0.13,-67.09,82.62,79,100,2.89,BR,1586706031
517,Tarnogskiy Gorodok,60.5,43.58,33.87,79,2,3.18,RU,1586706031
518,Cabras,39.93,8.53,66.56,40,74,3.18,IT,1586706031
519,Kruisfontein,-34.0,24.73,64.15,60,5,28.52,ZA,1586706031
520,Safranbolu,41.25,32.69,54.54,34,0,4.85,TR,1586706032
521,Wexford,52.33,-6.46,55.99,87,75,13.87,IE,1586706032
522,Mauá,-23.67,-46.46,78.8,56,75,8.05,BR,1586705846
523,Nieuw Amsterdam,5.88,-55.08,88.0,58,40,13.87,SR,1586706032
524,Fujin,47.26,132.03,49.41,48,38,5.28,CN,1586706032
525,Suntar,62.14,117.63,29.73,96,0,5.82,RU,1586706032
526,Acapulco de Juárez,16.86,-99.89,78.8,78,75,2.24,MX,1586706032
527,Awjilah,29.11,21.29,78.46,17,0,7.36,LY,1586706033
528,Thabazimbi,-24.59,27.41,84.99,29,0,4.07,ZA,1586706033
529,Korla,41.76,86.15,62.01,66,22,3.0,CN,1586706033
530,Oga,46.46,10.35,55.4,32,83,10.29,IT,1586706033
531,San Joaquin,10.26,-67.79,82.89,47,39,4.41,VE,1586706033
532,Albanel,48.88,-72.45,37.0,74,90,18.34,CA,1586705947
533,Puerto El Triunfo,13.28,-88.55,91.4,62,2,3.36,SV,1586706033
534,Tutóia,-2.76,-42.27,89.6,70,40,13.87,BR,1586706034
535,Mana,5.66,-53.78,84.24,64,89,10.94,GF,1586706034
536,Khor,47.89,134.95,42.42,58,0,5.21,RU,1586706034
537,Nicoya,10.15,-85.45,91.4,49,20,10.29,CR,1586706034
538,Torquay,50.46,-3.51,64.0,81,100,9.01,GB,1586706034
539,Comodoro Rivadavia,-45.87,-67.5,60.8,44,40,16.11,AR,1586705843
540,Rantepao,-2.97,119.9,68.02,72,89,1.74,ID,1586706034
541,Jobat,22.42,74.57,90.36,11,1,7.99,IN,1586706035
542,Soyo,-6.13,12.37,77.0,94,75,5.82,AO,1586706035
543,Balancán,17.8,-91.53,84.2,74,40,14.67,MX,1586706035
544,Zaraza,9.35,-65.32,93.51,32,18,9.17,VE,1586706035
545,Olafsvik,64.89,-23.71,39.56,85,74,11.54,IS,1586705773
